Year,State,Deaths,MortalityRate,Population,sourceDeaths,NextPopulation,PopulationChange,Population Retained,Domestic Immigrants,Foreign Immigrants,Total Immigrants,Total Emigrants,CrudeBirthRate,Births
1986,Colorado,20810,6.4239999999999995,3239353,NCHS,3211081,-28272.0,,,,,,15.698,50851
1987,Colorado,21093,6.468,3261010,NCHS,3239353,-21657.0,,,,,,15.746,51348
1988,Colorado,21350,6.542000000000001,3263281,NCHS,3261010,-2271.0,,,,,,15.776,51482
1989,Colorado,21144,6.452999999999999,3276660,NCHS,3263281,-13379.0,,,,,,15.783,51716
1990,Colorado,21583,6.5489999999999995,3295529,NCHS,3276660,-18869.0,,,,,,15.756,51924
1991,Colorado,22588,6.667000000000001,3387824,NCHS,3295529,-92295.0,,,,,,15.684,53135
1992,Colorado,22440,6.417000000000001,3496821,NCHS,3387824,-108997.0,,,,,,15.562,54418
1993,Colorado,23746,6.569,3614735,NCHS,3496821,-117914.0,,,,,,15.396,55652
1994,Colorado,24250,6.5089999999999995,3725509,NCHS,3614735,-110774.0,,,,,,15.195,56609
1995,Colorado,25011,6.534,3827609,NCHS,3725509,-102100.0,,,,,,14.974,57315
1996,Colorado,25723,6.56,3921395,NCHS,3827609,-93786.0,,,,,,14.755,57860
1997,Colorado,25626,6.376,4018882,NCHS,3921395,-97487.0,,,,,,14.556,58499
1998,Colorado,26640,6.468999999999999,4118190,NCHS,4018882,-99308.0,,,,,,14.391,59265
1999,Colorado,27114,6.416,4226018,NCHS,4118190,-107828.0,,,,,,14.266,60288
2000,Colorado,27288,6.343999999999999,4301261,NCHS,4226018,-75243.0,,,,,,14.185,61013
2001,Colorado,28294,6.393,4425687,NCHS,4301261,-124426.0,,,,,,14.145,62601
2002,Colorado,29210,6.505,4490406,NCHS,4425687,-64719.0,,,,,,14.13,63449
2003,Colorado,29506,6.515,4528732,NCHS,4490406,-38326.0,,,,,,14.123,63959
2004,Colorado,28309,6.188,4575013,NCHS,4528732,-46281.0,,,,,,14.11,64553
2005,Colorado,29627,6.396,4631888,NCHS,4575013,-56875.0,,1028203.0,,1028203.0,152522.0,14.074,65189
2006,Colorado,29521,6.254,4720423,NCHS,4631888,-88535.0,,1080930.0,,1080930.0,163319.0,13.993,66053
2007,Colorado,29993,6.244,4803868,NCHS,4720423,-83445.0,,1083050.0,,1083050.0,176007.0,13.862,66591
2008,Colorado,31274,6.396,4889730,NCHS,4803868,-85862.0,,1093449.0,,1093449.0,165958.0,13.684,66911
2009,Colorado,31173,6.269,4972195,NCHS,4889730,-82465.0,,1058946.0,,1058946.0,155042.0,13.466,66956
2010,Colorado,31465,6.256,5029196,NCHS,4972195,-57001.0,4767452.0,186366.0,34372.0,220738.0,140620.0,13.228,66526
2011,Colorado,32563,6.364,5116796,NCHS,5029196,-87600.0,4811275.0,202124.0,35044.0,237168.0,160623.0,12.996,66498
2012,Colorado,33133,6.3870000000000005,5187582,NCHS,5116796,-70786.0,4883278.0,205060.0,35606.0,240666.0,161530.0,12.795,66375
2013,Colorado,33712,6.399,5268367,NCHS,5187582,-80785.0,4965163.0,206543.0,34306.0,240849.0,166348.0,12.642,66603
2014,Colorado,35237,6.579,5355866,NCHS,5268367,-87499.0,5041697.0,218728.0,33518.0,252246.0,173332.0,12.544,67184
2015,Colorado,36349,6.662000000000001,5456574,NCHS,5355866,-100708.0,5132135.0,227445.0,33487.0,260932.0,182945.0,12.499,68202
2016,Colorado,37530,6.774,5540545,NCHS,5456574,-83971.0,5220779.0,223260.0,32889.0,256149.0,193179.0,12.02,66597
2017,Colorado,38063,6.787999999999999,5607154,NCHS,5540545,-66609.0,5280911.0,226933.0,34438.0,261371.0,194296.0,11.48,64370
2018,Colorado,38526,6.763999999999999,5695564,NCHS,5607154,-88410.0,5355564.0,239153.0,38312.0,277465.0,203460.0,11.04,62879
2019,Colorado,39390,6.84,5758736,NCHS,5695564,-63172.0,5432135.0,240600.0,28923.0,269523.0,198416.0,10.92,62885
2020,Colorado,46918,8.079,5807719,NCHS,,,,,,,,10.59,61504
2021,Colorado,45691,7.84760000000017,5822305,,,,,,,,,10.183999999999969,59294
2022,Colorado,47351,8.113800000000197,5835908,,,,,,,,,9.841999999999985,57437
2023,Colorado,48989,8.38000000000011,5845994,,,,,,,,,9.5,55536
2024,Colorado,50602,8.646200000000135,5852541,,,,,,,,,9.158000000000015,53597
2025,Colorado,52186,8.912400000000162,5855536,,,,,,,,,8.816000000000031,51622
1914,Connecticut,18072,14.8,1221106,calculated from mortality rate and population estimate,5807719,4586613.0,,,,,,29.9,36511
1915,Connecticut,18092,14.5,1247694,calculated from mortality rate and population estimate,1221106,-26587.5,,,,,,29.5,36807
1916,Connecticut,19879,15.6,1274281,calculated from mortality rate and population estimate,1247694,-26587.5,,,,,,29.1,37082
1917,Connecticut,20424,15.7,1300868,calculated from mortality rate and population estimate,1274281,-26587.5,,,,,,28.5,37075
1918,Connecticut,27346,20.6,1327456,calculated from mortality rate and population estimate,1300868,-26587.5,,,,,,28.2,37434
1919,Connecticut,18144,13.4,1354044,calculated from mortality rate and population estimate,1327456,-26587.5,,,,,,26.1,35341
1920,Connecticut,18777,13.6,1380631,calculated from mortality rate and population estimate,1354044,-26587.5,,,,,,27.7,38243
1921,Connecticut,15997,11.4,1403258,calculated from mortality rate and population estimate,1380631,-22627.199999999953,,,,,,28.1,39432
1922,Connecticut,17396,12.2,1425885,calculated from mortality rate and population estimate,1403258,-22627.199999999953,,,,,,26.2,37358
1923,Connecticut,17672,12.2,1448513,calculated from mortality rate and population estimate,1425885,-22627.200000000186,,,,,,26.0,37661
1924,Connecticut,16918,11.5,1471140,calculated from mortality rate and population estimate,1448513,-22627.199999999953,,,,,,26.1,38397
1925,Connecticut,17477,11.7,1493767,calculated from mortality rate and population estimate,1471140,-22627.199999999953,,,,,,25.1,37494
1926,Connecticut,18197,12.0,1516394,calculated from mortality rate and population estimate,1493767,-22627.199999999953,,,,,,24.2,36697
1927,Connecticut,16621,10.8,1539021,calculated from mortality rate and population estimate,1516394,-22627.199999999953,,,,,,23.5,36167
1928,Connecticut,17803,11.4,1561649,calculated from mortality rate and population estimate,1539021,-22627.200000000186,,,,,,22.2,34669
1929,Connecticut,18219,11.5,1584276,calculated from mortality rate and population estimate,1561649,-22627.199999999953,,,,,,21.2,33587
1930,Connecticut,17194,10.7,1606903,calculated from mortality rate and population estimate,1584276,-22627.199999999953,,,,,,21.3,34227
1931,Connecticut,17303,10.7,1617137,calculated from mortality rate and population estimate,1606903,-10233.899999999907,,,,,,20.2,32666
1932,Connecticut,16925,10.4,1627371,calculated from mortality rate and population estimate,1617137,-10233.90000000014,,,,,,19.5,31734
1933,Connecticut,17522,10.7,1637605,calculated from mortality rate and population estimate,1627371,-10233.899999999907,,,,,,18.4,30132
1934,Connecticut,17632,10.7,1647839,calculated from mortality rate and population estimate,1637605,-10233.90000000014,,,,,,19.0,31309
1935,Connecticut,17741,10.7,1658072,calculated from mortality rate and population estimate,1647839,-10233.899999999907,,,,,,18.7,31006
1936,Connecticut,18018,10.8,1668306,calculated from mortality rate and population estimate,1658072,-10233.899999999907,,,,,,19.0,31698
1937,Connecticut,18128,10.8,1678540,calculated from mortality rate and population estimate,1668306,-10233.90000000014,,,,,,18.7,31389
1938,Connecticut,17732,10.5,1688774,calculated from mortality rate and population estimate,1678540,-10233.899999999907,,,,,,19.2,32424
1939,Connecticut,17840,10.5,1699008,calculated from mortality rate and population estimate,1688774,-10233.90000000014,,,,,,18.8,31941
1940,Connecticut,17947,10.5,1709242,calculated from mortality rate and population estimate,1699008,-10233.899999999907,,,,,,19.4,33159
1941,Connecticut,18260,10.5,1739046,calculated from mortality rate and population estimate,1709242,-29803.800000000047,,,,,,20.3,35303
1942,Connecticut,18219,10.3,1768850,calculated from mortality rate and population estimate,1739046,-29803.800000000047,,,,,,22.2,39268
1943,Connecticut,19605,10.9,1798653,calculated from mortality rate and population estimate,1768850,-29803.799999999814,,,,,,22.7,40829
1944,Connecticut,19382,10.6,1828457,calculated from mortality rate and population estimate,1798653,-29803.800000000047,,,,,,21.2,38763
1945,Connecticut,19698,10.6,1858261,calculated from mortality rate and population estimate,1828457,-29803.800000000047,,,,,,20.4,37909
1946,Connecticut,18881,10.0,1888065,calculated from mortality rate and population estimate,1858261,-29803.800000000047,,,,,,24.1,45502
1947,Connecticut,19370,10.1,1917869,calculated from mortality rate and population estimate,1888065,-29803.800000000047,,,,,,26.6,51015
1948,Connecticut,19282,9.9,1947672,calculated from mortality rate and population estimate,1917869,-29803.799999999814,,,,,,24.9,48497
1949,Connecticut,19182,9.7,1977476,calculated from mortality rate and population estimate,1947672,-29803.800000000047,,,,,,24.5,48448
1950,Connecticut,19270,9.6,2007280,calculated from mortality rate and population estimate,1977476,-29803.800000000047,,,,,,23.71,47593
1951,Connecticut,19983,9.7,2060075,calculated from mortality rate and population estimate,2007280,-52795.39999999991,,,,,,23.928,49293
1952,Connecticut,20284,9.6,2112871,calculated from mortality rate and population estimate,2060075,-52795.39999999991,,,,,,24.313,51370
1953,Connecticut,20790,9.6,2165666,calculated from mortality rate and population estimate,2112871,-52795.40000000037,,,,,,24.599,53273
1954,Connecticut,20410,9.2,2218462,calculated from mortality rate and population estimate,2165666,-52795.39999999991,,,,,,24.784,54982
1955,Connecticut,21123,9.3,2271257,calculated from mortality rate and population estimate,2218462,-52795.39999999991,,,,,,24.869,56484
1956,Connecticut,21846,9.4,2324052,calculated from mortality rate and population estimate,2271257,-52795.39999999991,,,,,,24.852,57757
1957,Connecticut,22818,9.6,2376848,calculated from mortality rate and population estimate,2324052,-52795.39999999991,,,,,,24.731,58782
1958,Connecticut,23082,9.5,2429643,calculated from mortality rate and population estimate,2376848,-52795.40000000037,,,,,,24.505,59538
1959,Connecticut,23335,9.4,2482439,calculated from mortality rate and population estimate,2429643,-52795.39999999991,,,,,,24.169,59998
1960,Connecticut,24085,9.5,2535234,calculated from mortality rate and population estimate,2482439,-52795.39999999991,,,,,,23.72,60136
1961,Connecticut,24039,9.3,2584882,calculated from mortality rate and population estimate,2535234,-49647.5,,,,,,23.159,59863
1962,Connecticut,25028,9.5,2634529,calculated from mortality rate and population estimate,2584882,-49647.5,,,,,,22.491,59253
1963,Connecticut,25768,9.6,2684176,calculated from mortality rate and population estimate,2634529,-49647.5,,,,,,21.735,58341
1964,Connecticut,25698,9.4,2733824,calculated from mortality rate and population estimate,2684176,-49647.5,,,,,,20.918,57186
1965,Connecticut,26165,9.4,2783472,calculated from mortality rate and population estimate,2733824,-49647.5,,,,,,20.075,55878
1966,Connecticut,26915,9.5,2833119,calculated from mortality rate and population estimate,2783472,-49647.5,,,,,,19.24,54509
1967,Connecticut,27098,9.4,2882766,calculated from mortality rate and population estimate,2833119,-49647.5,,,,,,18.443,53167
1968,Connecticut,26790,8.927999999999999,3000614,NCHS,2882766,-117847.5,,,,,,17.711,53144
1969,Connecticut,26222,8.699,3014506,NCHS,3000614,-13892.0,,,,,,17.066,51446
1970,Connecticut,25939,8.555,3032018,NCHS,3014506,-17512.0,,,,,,16.519,50086
1971,Connecticut,26139,8.549,3057560,NCHS,3032018,-25542.0,,,,,,16.071,49138
1972,Connecticut,26350,8.606,3061896,NCHS,3057560,-4336.0,,,,,,15.702,48078
1973,Connecticut,26714,8.725,3061705,NCHS,3061896,191.0,,,,,,15.398,47144
1974,Connecticut,26129,8.511000000000001,3070012,NCHS,3061705,-8307.0,,,,,,15.155,46526
1975,Connecticut,25740,8.356,3080526,NCHS,3070012,-10514.0,,,,,,14.976,46134
1976,Connecticut,26128,8.474,3083472,NCHS,3080526,-2946.0,,,,,,14.867,45842
1977,Connecticut,25638,8.302,3088150,NCHS,3083472,-4678.0,,,,,,14.825,45782
1978,Connecticut,26078,8.425,3095187,NCHS,3088150,-7037.0,,,,,,14.845,45948
1979,Connecticut,26053,8.4,3101686,NCHS,3095187,-6499.0,,,,,,14.915,46262
1980,Connecticut,27275,8.772,3109321,NCHS,3101686,-7635.0,,,,,,15.021,46705
1981,Connecticut,26768,8.549,3131032,NCHS,3109321,-21711.0,,,,,,15.15,47435
1982,Connecticut,26838,8.544,3141181,NCHS,3131032,-10149.0,,,,,,15.288,48022
1983,Connecticut,27246,8.611,3164200,NCHS,3141181,-23019.0,,,,,,15.421,48795
1984,Connecticut,27851,8.751,3182426,NCHS,3164200,-18226.0,,,,,,15.537,49445
1985,Connecticut,28170,8.791,3204314,NCHS,3182426,-21888.0,,,,,,15.63,50083
1986,Connecticut,28096,8.708,3226567,NCHS,3204314,-22253.0,,,,,,15.698,50651
1987,Connecticut,28327,8.713,3251130,NCHS,3226567,-24563.0,,,,,,15.746,51192
1988,Connecticut,28576,8.724,3275681,NCHS,3251130,-24551.0,,,,,,15.776,51677
1989,Connecticut,28243,8.592,3287127,NCHS,3275681,-11446.0,,,,,,15.783,51881
1990,Connecticut,27607,8.397,3287825,NCHS,3287127,-698.0,,,,,,15.756,51803
1991,Connecticut,28029,8.484,3303749,NCHS,3287825,-15924.0,,,,,,15.684,51816
1992,Connecticut,28254,8.558,3301385,NCHS,3303749,2364.0,,,,,,15.562,51376
1993,Connecticut,29037,8.773,3309945,NCHS,3301385,-8560.0,,,,,,15.396,50960
1994,Connecticut,29273,8.825,3316918,NCHS,3309945,-6973.0,,,,,,15.195,50401
1995,Connecticut,29457,8.861,3324324,NCHS,3316918,-7406.0,,,,,,14.974,49778
1996,Connecticut,29560,8.856,3337947,NCHS,3324324,-13623.0,,,,,,14.755,49251
1997,Connecticut,29415,8.781,3349822,NCHS,3337947,-11875.0,,,,,,14.556,48760
1998,Connecticut,29710,8.825,3366615,NCHS,3349822,-16793.0,,,,,,14.391,48449
1999,Connecticut,29446,8.695,3386401,NCHS,3366615,-19786.0,,,,,,14.266,48310
2000,Connecticut,30129,8.847000000000001,3405565,NCHS,3386401,-19164.0,,,,,,14.185,48308
2001,Connecticut,29827,8.689,3432835,NCHS,3405565,-27270.0,,,,,,14.145,48557
2002,Connecticut,30122,8.709,3458749,NCHS,3432835,-25914.0,,,,,,14.13,48872
2003,Connecticut,29627,8.503,3484336,NCHS,3458749,-25587.0,,,,,,14.123,49209
2004,Connecticut,29314,8.385,3496094,NCHS,3484336,-11758.0,,,,,,14.11,49330
2005,Connecticut,29467,8.402000000000001,3506956,NCHS,3496094,-10862.0,,464690.0,,464690.0,86070.0,14.074,49357
2006,Connecticut,29260,8.318999999999999,3517460,NCHS,3506956,-10504.0,,567977.0,,567977.0,112753.0,13.993,49220
2007,Connecticut,28651,8.123,3527270,NCHS,3517460,-9810.0,,516308.0,,516308.0,101599.0,13.862,48895
2008,Connecticut,28794,8.121,3545579,NCHS,3527270,-18309.0,,511272.0,,511272.0,99363.0,13.684,48518
2009,Connecticut,28585,8.025,3561807,NCHS,3545579,-16228.0,,484100.0,,484100.0,94322.0,13.466,47963
2010,Connecticut,28692,8.027999999999999,3574097,NCHS,3561807,-12290.0,3443646.0,77333.0,20167.0,97500.0,89360.0,13.228,47278
2011,Connecticut,29526,8.246,3580709,NCHS,3574097,-6612.0,3456379.0,71502.0,20786.0,92288.0,91295.0,12.996,46535
2012,Connecticut,29316,8.165,3590347,NCHS,3580709,-9638.0,3449858.0,80311.0,25150.0,105461.0,87023.0,12.795,45938
2013,Connecticut,29632,8.24,3596080,NCHS,3590347,-5733.0,3453316.0,88351.0,21292.0,109643.0,91600.0,12.642,45462
2014,Connecticut,29860,8.302,3596677,NCHS,3596080,-597.0,3445986.0,82746.0,30183.0,112929.0,95501.0,12.544,45117
2015,Connecticut,30535,8.503,3590886,NCHS,3596677,5791.0,3449706.0,76997.0,28141.0,105138.0,103343.0,12.499,44882
2016,Connecticut,30543,8.54,3576452,NCHS,3590886,14434.0,3439756.0,75586.0,26416.0,102002.0,112914.0,10.07,36015
2017,Connecticut,31312,8.726,3588184,NCHS,3576452,-11732.0,3448392.0,83325.0,24580.0,107905.0,98971.0,9.82,35236
2018,Connecticut,31230,8.741,3572665,NCHS,3588184,15519.0,3422560.0,84718.0,30925.0,115643.0,114235.0,9.72,34726
2019,Connecticut,31745,8.904,3565287,NCHS,3572665,7378.0,3412824.0,90044.0,29118.0,119162.0,105243.0,9.61,34262
2020,Connecticut,37853,10.642000000000001,3557006,NCHS,,,,,,,,9.41,33471
2021,Connecticut,37036,10.425200000000132,3552624,,,,,,,,,9.266999999999939,32922
2022,Connecticut,38548,10.86340000000007,3548510,,,,,,,,,9.113999999999976,32341
2023,Connecticut,40033,11.301600000000121,3542302,,,,,,,,,8.960999999999956,31742
2024,Connecticut,41488,11.73980000000006,3534011,,,,,,,,,8.807999999999993,31127
2025,Connecticut,42911,12.178000000000111,3523650,,,,,,,,,8.654999999999973,30497
1914,Delaware,2801,13.3,210594,calculated from mortality rate and population estimate,3557006,3346411.6,,,,,,29.9,6297
1915,Delaware,2807,13.2,212662,calculated from mortality rate and population estimate,210594,-2068.100000000006,,,,,,29.5,6274
1916,Delaware,2963,13.8,214731,calculated from mortality rate and population estimate,212662,-2068.100000000006,,,,,,29.1,6249
1917,Delaware,3035,14.0,216799,calculated from mortality rate and population estimate,214731,-2068.100000000006,,,,,,28.5,6179
1918,Delaware,3961,18.1,218867,calculated from mortality rate and population estimate,216799,-2068.0999999999767,,,,,,28.2,6172
1919,Delaware,3447,15.6,220935,calculated from mortality rate and population estimate,218867,-2068.100000000006,,,,,,26.1,5766
1920,Delaware,3323,14.9,223003,calculated from mortality rate and population estimate,220935,-2068.100000000006,,,,,,27.7,6177
1921,Delaware,3076,13.7,224541,calculated from mortality rate and population estimate,223003,-1537.7000000000116,,,,,,28.1,6310
1922,Delaware,3188,14.1,226078,calculated from mortality rate and population estimate,224541,-1537.6999999999825,,,,,,26.2,5923
1923,Delaware,3414,15.0,227616,calculated from mortality rate and population estimate,226078,-1537.7000000000116,,,,,,26.0,5918
1924,Delaware,3162,13.8,229154,calculated from mortality rate and population estimate,227616,-1537.6999999999825,,,,,,26.1,5981
1925,Delaware,3253,14.1,230692,calculated from mortality rate and population estimate,229154,-1537.7000000000116,,,,,,25.1,5790
1926,Delaware,3553,15.3,232229,calculated from mortality rate and population estimate,230692,-1537.7000000000116,,,,,,24.2,5620
1927,Delaware,3062,13.1,233767,calculated from mortality rate and population estimate,232229,-1537.6999999999825,,,,,,23.5,5494
1928,Delaware,3224,13.7,235305,calculated from mortality rate and population estimate,233767,-1537.7000000000116,,,,,,22.2,5224
1929,Delaware,3150,13.3,236842,calculated from mortality rate and population estimate,235305,-1537.6999999999825,,,,,,21.2,5021
1930,Delaware,3242,13.6,238380,calculated from mortality rate and population estimate,236842,-1537.7000000000116,,,,,,21.3,5077
1931,Delaware,3280,13.6,241192,calculated from mortality rate and population estimate,238380,-2812.5,,,,,,20.2,4872
1932,Delaware,2928,12.0,244005,calculated from mortality rate and population estimate,241192,-2812.5,,,,,,19.5,4758
1933,Delaware,3307,13.4,246818,calculated from mortality rate and population estimate,244005,-2812.5,,,,,,18.4,4541
1934,Delaware,3345,13.4,249630,calculated from mortality rate and population estimate,246818,-2812.5,,,,,,19.0,4743
1935,Delaware,3231,12.8,252442,calculated from mortality rate and population estimate,249630,-2812.5,,,,,,18.7,4721
1936,Delaware,3344,13.1,255255,calculated from mortality rate and population estimate,252442,-2812.5,,,,,,19.0,4850
1937,Delaware,3355,13.0,258068,calculated from mortality rate and population estimate,255255,-2812.5,,,,,,18.7,4826
1938,Delaware,3235,12.4,260880,calculated from mortality rate and population estimate,258068,-2812.5,,,,,,19.2,5009
1939,Delaware,3191,12.1,263692,calculated from mortality rate and population estimate,260880,-2812.5,,,,,,18.8,4957
1940,Delaware,3251,12.2,266505,calculated from mortality rate and population estimate,263692,-2812.5,,,,,,19.4,5170
1941,Delaware,2852,10.5,271663,calculated from mortality rate and population estimate,266505,-5158.0,,,,,,20.3,5515
1942,Delaware,2851,10.3,276821,calculated from mortality rate and population estimate,271663,-5158.0,,,,,,22.2,6145
1943,Delaware,3074,10.9,281979,calculated from mortality rate and population estimate,276821,-5158.0,,,,,,22.7,6401
1944,Delaware,3044,10.6,287137,calculated from mortality rate and population estimate,281979,-5158.0,,,,,,21.2,6087
1945,Delaware,3098,10.6,292295,calculated from mortality rate and population estimate,287137,-5158.0,,,,,,20.4,5963
1946,Delaware,2975,10.0,297453,calculated from mortality rate and population estimate,292295,-5158.0,,,,,,24.1,7169
1947,Delaware,3056,10.1,302611,calculated from mortality rate and population estimate,297453,-5158.0,,,,,,26.6,8049
1948,Delaware,3047,9.9,307769,calculated from mortality rate and population estimate,302611,-5158.0,,,,,,24.9,7663
1949,Delaware,3035,9.7,312927,calculated from mortality rate and population estimate,307769,-5158.0,,,,,,24.5,7667
1950,Delaware,3054,9.6,318085,calculated from mortality rate and population estimate,312927,-5158.0,,,,,,23.71,7542
1951,Delaware,3210,9.7,330906,calculated from mortality rate and population estimate,318085,-12820.700000000012,,,,,,23.928,7918
1952,Delaware,3300,9.6,343726,calculated from mortality rate and population estimate,330906,-12820.700000000012,,,,,,24.313,8357
1953,Delaware,3423,9.6,356547,calculated from mortality rate and population estimate,343726,-12820.699999999953,,,,,,24.599,8771
1954,Delaware,3398,9.2,369368,calculated from mortality rate and population estimate,356547,-12820.700000000012,,,,,,24.784,9154
1955,Delaware,3554,9.3,382188,calculated from mortality rate and population estimate,369368,-12820.700000000012,,,,,,24.869,9505
1956,Delaware,3713,9.4,395009,calculated from mortality rate and population estimate,382188,-12820.700000000012,,,,,,24.852,9817
1957,Delaware,3915,9.6,407830,calculated from mortality rate and population estimate,395009,-12820.700000000012,,,,,,24.731,10086
1958,Delaware,3996,9.5,420651,calculated from mortality rate and population estimate,407830,-12820.699999999953,,,,,,24.505,10308
1959,Delaware,4075,9.4,433471,calculated from mortality rate and population estimate,420651,-12820.700000000012,,,,,,24.169,10477
1960,Delaware,4240,9.5,446292,calculated from mortality rate and population estimate,433471,-12820.700000000012,,,,,,23.72,10586
1961,Delaware,4245,9.3,456473,calculated from mortality rate and population estimate,446292,-10181.200000000012,,,,,,23.159,10571
1962,Delaware,4433,9.5,466654,calculated from mortality rate and population estimate,456473,-10181.200000000012,,,,,,22.491,10496
1963,Delaware,4578,9.6,476836,calculated from mortality rate and population estimate,466654,-10181.199999999953,,,,,,21.735,10364
1964,Delaware,4578,9.4,487017,calculated from mortality rate and population estimate,476836,-10181.200000000012,,,,,,20.918,10187
1965,Delaware,4674,9.4,497198,calculated from mortality rate and population estimate,487017,-10181.200000000012,,,,,,20.075,9981
1966,Delaware,4820,9.5,507379,calculated from mortality rate and population estimate,497198,-10181.200000000012,,,,,,19.24,9762
1967,Delaware,4865,9.4,517560,calculated from mortality rate and population estimate,507379,-10181.200000000012,,,,,,18.443,9545
1968,Delaware,4896,9.276,527786,NCHS,517560,-10225.599999999977,,,,,,17.711,9348
1969,Delaware,4755,8.822000000000001,539000,NCHS,527786,-11214.0,,,,,,17.066,9199
1970,Delaware,4916,8.956,548909,NCHS,539000,-9909.0,,,,,,16.519,9067
1971,Delaware,4824,8.532,565378,NCHS,548909,-16469.0,,,,,,16.071,9086
1972,Delaware,4962,8.658999999999999,573056,NCHS,565378,-7678.0,,,,,,15.702,8998
1973,Delaware,4920,8.512,578025,NCHS,573056,-4969.0,,,,,,15.398,8900
1974,Delaware,4986,8.56,582444,NCHS,578025,-4419.0,,,,,,15.155,8827
1975,Delaware,4682,7.959,588301,NCHS,582444,-5857.0,,,,,,14.976,8810
1976,Delaware,4781,8.068999999999999,592492,NCHS,588301,-4191.0,,,,,,14.867,8809
1977,Delaware,4738,7.96,595211,NCHS,592492,-2719.0,,,,,,14.825,8824
1978,Delaware,4957,8.281,598626,NCHS,595211,-3415.0,,,,,,14.845,8887
1979,Delaware,4897,8.169,599476,NCHS,598626,-850.0,,,,,,14.915,8941
1980,Delaware,5044,8.47,595519,NCHS,599476,3957.0,,,,,,15.021,8945
1981,Delaware,5073,8.502,596658,NCHS,595519,-1139.0,,,,,,15.15,9039
1982,Delaware,5104,8.513,599565,NCHS,596658,-2907.0,,,,,,15.288,9166
1983,Delaware,5012,8.275,605660,NCHS,599565,-6095.0,,,,,,15.421,9340
1984,Delaware,5098,8.334,611723,NCHS,605660,-6063.0,,,,,,15.537,9504
1985,Delaware,5475,8.849,618730,NCHS,611723,-7007.0,,,,,,15.63,9671
1986,Delaware,5631,8.967,628001,NCHS,618730,-9271.0,,,,,,15.698,9858
1987,Delaware,5603,8.789,637508,NCHS,628001,-9507.0,,,,,,15.746,10038
1988,Delaware,5769,8.896,648489,NCHS,637508,-10981.0,,,,,,15.776,10231
1989,Delaware,5843,8.863999999999999,659194,NCHS,648489,-10705.0,,,,,,15.783,10404
1990,Delaware,5764,8.645,666780,NCHS,659194,-7586.0,,,,,,15.756,10506
1991,Delaware,5928,8.673,683489,NCHS,666780,-16709.0,,,,,,15.684,10720
1992,Delaware,5941,8.548,695038,NCHS,683489,-11549.0,,,,,,15.562,10816
1993,Delaware,6150,8.702,706719,NCHS,695038,-11681.0,,,,,,15.396,10881
1994,Delaware,6339,8.83,717867,NCHS,706719,-11148.0,,,,,,15.195,10908
1995,Delaware,6282,8.604,730099,NCHS,717867,-12232.0,,,,,,14.974,10933
1996,Delaware,6503,8.772,741330,NCHS,730099,-11231.0,,,,,,14.755,10938
1997,Delaware,6510,8.658999999999999,751824,NCHS,741330,-10494.0,,,,,,14.556,10944
1998,Delaware,6578,8.612,763841,NCHS,751824,-12017.0,,,,,,14.391,10992
1999,Delaware,6666,8.601,774990,NCHS,763841,-11149.0,,,,,,14.266,11056
2000,Delaware,6875,8.774,783600,NCHS,774990,-8610.0,,,,,,14.185,11115
2001,Delaware,7112,8.937999999999999,795699,NCHS,783600,-12099.0,,,,,,14.145,11255
2002,Delaware,6861,8.511000000000001,806169,NCHS,795699,-10470.0,,,,,,14.13,11391
2003,Delaware,7070,8.642999999999999,818003,NCHS,806169,-11834.0,,,,,,14.123,11553
2004,Delaware,7143,8.597999999999999,830803,NCHS,818003,-12800.0,,,,,,14.11,11723
2005,Delaware,7472,8.841000000000001,845150,NCHS,830803,-14347.0,,148749.0,,148749.0,22787.0,14.074,11895
2006,Delaware,7204,8.384,859268,NCHS,845150,-14118.0,,149493.0,,149493.0,31605.0,13.993,12024
2007,Delaware,7327,8.405,871749,NCHS,859268,-12481.0,,154032.0,,154032.0,30348.0,13.862,12084
2008,Delaware,7622,8.623,883874,NCHS,871749,-12125.0,,154679.0,,154679.0,31543.0,13.684,12095
2009,Delaware,7534,8.449,891730,NCHS,883874,-7856.0,,152129.0,,152129.0,29135.0,13.466,12008
2010,Delaware,7706,8.582,897934,NCHS,891730,-6204.0,854641.0,30759.0,4412.0,35171.0,30055.0,13.228,11878
2011,Delaware,7845,8.648,907135,NCHS,897934,-9201.0,858570.0,33912.0,4705.0,38617.0,26631.0,12.996,11789
2012,Delaware,7875,8.587,917092,NCHS,907135,-9957.0,868219.0,34757.0,3600.0,38357.0,25149.0,12.795,11734
2013,Delaware,7967,8.606,925749,NCHS,917092,-8657.0,872641.0,36790.0,4594.0,41384.0,24771.0,12.642,11703
2014,Delaware,8260,8.828,935614,NCHS,925749,-9865.0,888151.0,32166.0,4453.0,36619.0,27179.0,12.544,11736
2015,Delaware,8582,9.073,945934,NCHS,935614,-10320.0,886710.0,44495.0,4608.0,49103.0,30881.0,12.499,11823
2016,Delaware,8874,9.321,952065,NCHS,945934,-6131.0,902926.0,33400.0,5747.0,39147.0,28742.0,11.55,10996
2017,Delaware,9178,9.541,961939,NCHS,952065,-9874.0,909903.0,38532.0,4014.0,42546.0,35653.0,11.28,10851
2018,Delaware,9433,9.753,967171,NCHS,961939,-5232.0,921507.0,34451.0,2812.0,37263.0,33395.0,10.98,10620
