CurrentState,Year,Population Retained,Domestic Immigrants,Foreign Immigrants,Total Immigrants,Total Emigrants,Assumed Population
Oregon,2014,3767497,137008,23352,160360,103111.0,3824746.0
Pennsylvania,2014,12345500,232889,67499,300388,251844.0,12394044.0
Rhode Island,2014,1005805,32621,7365,39986,37876.0,1007915.0
South Carolina,2014,4589053,171969,19637,191606,121524.0,4659135.0
South Dakota,2014,810848,28198,3030,31228,31154.0,810922.0
Tennessee,2014,6261648,182130,27667,209797,160057.0,6311388.0
Texas,2014,25832636,538572,217392,755964,435107.0,26153493.0
Utah,2014,2782186,90234,21581,111815,79697.0,2814304.0
Vermont,2014,596765,22635,1498,24133,20424.0,600474.0
Virginia,2014,7886966,262477,74611,337088,263767.0,7960287.0
Washington,2014,6691987,220259,67123,287382,198200.0,6781169.0
West Virginia,2014,1779850,47957,3607,51564,48804.0,1782610.0
Wisconsin,2014,5556610,117831,18286,136117,114724.0,5578003.0
Wyoming,2014,550341,25992,1449,27441,33465.0,544317.0
Puerto Rico,2014,3488586,19771,2829,22600,,
Alabama,2015,4674964,114876,11759,126635,100809.0,4700790.0
Alaska,2015,688678,34696,4488,39184,40552.0,687310.0
Arizona,2015,6446998,253281,47316,300597,184476.0,6563119.0
Arkansas,2015,2847711,81594,9036,90630,76673.0,2861668.0
California,2015,37823991,514477,336667,851144,643710.0,38031425.0
Colorado,2015,5132135,227445,33487,260932,182945.0,5210122.0
Connecticut,2015,3449706,76997,28141,105138,103343.0,3451501.0
Delaware,2015,886710,44495,4608,49103,30881.0,904932.0
District of Columbia ,2015,592212,59905,10889,70794,64736.0,598270.0
Florida,2015,19271202,584938,212252,797190,445320.0,19623072.0
Georgia,2015,9748696,283325,56504,339829,249302.0,9839223.0
Hawaii,2015,1342862,53742,17751,71493,60459.0,1353896.0
Idaho,2015,1552549,73809,9008,82817,55885.0,1579481.0
Illinois,2015,12429746,209828,66819,276647,337592.0,12368801.0
Indiana,2015,6370722,147529,22440,169969,141616.0,6399075.0
Iowa,2015,2984763,85937,10746,96683,81054.0,3000392.0
Kansas,2015,2766392,91340,17908,109248,99652.0,2775988.0
Kentucky,2015,4250516,106918,15969,122887,109026.0,4264377.0
Louisiana,2015,4503587,93321,15116,108437,100167.0,4511857.0
Maine,2015,1283665,30123,3656,33779,37053.0,1280391.0
Maryland,2015,5715579,168894,49532,218426,181803.0,5752202.0
Massachusetts,2015,6528295,132642,64741,197383,174793.0,6550885.0
Michigan,2015,9623960,142639,44817,187456,180337.0,9631079.0
Minnesota,2015,5279708,108476,31638,140114,127471.0,5292351.0
Mississippi,2015,2882514,69351,7424,76775,81358.0,2877931.0
Missouri,2015,5833722,159152,22706,181858,155529.0,5860051.0
Montana,2015,974061,42760,2825,45585,32620.0,987026.0
Nebraska,2015,1806809,52950,9458,62408,53210.0,1816007.0
Nevada,2015,2705673,135999,17817,153816,99409.0,2760080.0
New Hampshire,2015,1256924,53446,7751,61197,41885.0,1276236.0
New Jersey,2015,8644429,144074,65860,209934,227380.0,8626983.0
New Mexico,2015,1995807,55753,8881,64634,68415.0,1992026.0
New York,2015,19159920,257611,152640,410251,448855.0,19121316.0
North Carolina,2015,9570461,310612,46474,357086,237206.0,9690341.0
North Dakota,2015,698875,42618,3798,46416,31867.0,713424.0
Ohio,2015,11228833,203475,49834,253309,213236.0,11268906.0
Oklahoma,2015,3735665,110878,18365,129243,98771.0,3766137.0
Oregon,2015,3822229,141162,22321,163483,109240.0,3876472.0
Pennsylvania,2015,12368325,232683,61184,293867,262887.0,12399305.0
Rhode Island,2015,999060,38344,7658,46002,29918.0,1015144.0
South Carolina,2015,4649654,170366,19964,190330,134555.0,4705429.0
South Dakota,2015,818465,26962,2858,29820,25769.0,822516.0
Tennessee,2015,6302487,195923,23849,219772,176961.0,6345298.0
Texas,2015,26317627,553032,222189,775221,445343.0,26647505.0
Utah,2015,2826371,97361,23691,121052,84071.0,2863352.0
Vermont,2015,594386,21232,4334,25566,22135.0,597817.0
Virginia,2015,7935931,277715,70091,347806,268593.0,8015144.0
Washington,2015,6796027,230907,62209,293116,178528.0,6910615.0
West Virginia,2015,1778038,42078,3637,45715,51953.0,1771800.0
Wisconsin,2015,5581942,106511,19748,126259,109243.0,5598958.0
Wyoming,2015,540311,35947,2844,38791,31537.0,547565.0
Puerto Rico,2015,3413256,24762,5427,30189,,
Alabama,2016,4671844,122220,16062,138282,99892.0,4710234.0
Alaska,2016,693901,31300,6559,37859,42074.0,689686.0
Arizona,2016,6524830,273257,53749,327006,192103.0,6659733.0
Arkansas,2016,2869516,71083,9051,80134,72033.0,2877617.0
California,2016,37932064,514758,336614,851372,657690.0,38125746.0
Colorado,2016,5220779,223260,32889,256149,193179.0,5283749.0
Connecticut,2016,3439756,75586,26416,102002,112914.0,3428844.0
Delaware,2016,902926,33400,5747,39147,28742.0,913331.0
District of Columbia ,2016,602713,58154,11155,69309,59972.0,612050.0
Florida,2016,19563719,605018,232838,837856,433452.0,19968123.0
Georgia,2016,9805479,305040,69341,374381,258942.0,9920918.0
Hawaii,2016,1335598,57229,17431,74660,64119.0,1346139.0
Idaho,2016,1583671,71556,8529,80085,55772.0,1607984.0
Illinois,2016,12384543,203713,65886,269599,345528.0,12308614.0
Indiana,2016,6381515,145782,26787,172569,137409.0,6416675.0
Iowa,2016,3006097,78263,12923,91186,76999.0,3020284.0
Kansas,2016,2764322,88830,17377,106207,92821.0,2777708.0
Kentucky,2016,4252515,113238,19460,132698,103370.0,4281843.0
Louisiana,2016,4520701,85371,15970,101341,92190.0,4529852.0
Maine,2016,1276112,38590,4590,43180,32973.0,1286319.0
Maryland,2016,5746801,158647,44118,202765,186118.0,5763448.0
Massachusetts,2016,6523038,149408,72995,222403,176873.0,6568568.0
Michigan,2016,9603045,155874,54853,210727,156354.0,9657418.0
Minnesota,2016,5314391,111307,30206,141513,121583.0,5334321.0
Mississippi,2016,2880590,64639,5852,70491,77509.0,2873572.0
Missouri,2016,5837460,162809,21896,184705,159177.0,5862988.0
Montana,2016,991474,37775,3545,41320,31479.0,1001315.0
Nebraska,2016,1821244,51448,10295,61743,47456.0,1835531.0
Nevada,2016,2774867,117899,14477,132376,88563.0,2818680.0
New Hampshire,2016,1262671,52457,6973,59430,45628.0,1276473.0
New Jersey,2016,8638326,144359,69601,213960,226830.0,8625456.0
New Mexico,2016,1982451,64802,10604,75406,65578.0,1992279.0
New York,2016,19099651,260723,166069,426792,450136.0,19076307.0
North Carolina,2016,9651236,330896,50275,381171,256563.0,9775844.0
North Dakota,2016,711901,29655,4715,34370,37658.0,708613.0
Ohio,2016,11237875,195396,48481,243877,212041.0,11269711.0
Oklahoma,2016,3756248,102000,14984,116984,105685.0,3767547.0
Oregon,2016,3885755,139334,27132,166466,107169.0,3945052.0
Pennsylvania,2016,12324632,252060,68801,320861,257792.0,12387701.0
Rhode Island,2016,1005299,32800,7592,40392,35606.0,1010085.0
South Carolina,2016,4719369,165230,19189,184419,127686.0,4776102.0
South Dakota,2016,818009,31789,4034,35823,29654.0,824178.0
Tennessee,2016,6386637,170867,23449,194316,182813.0,6398140.0
Texas,2016,26705881,531996,234749,766745,444340.0,27028286.0
Utah,2016,2870326,107083,24835,131918,85803.0,2916441.0
Vermont,2016,596012,21262,2113,23375,23693.0,595694.0
Virginia,2016,7969808,264164,78325,342489,275671.0,8036626.0
Washington,2016,6883049,257728,61342,319070,192362.0,7009757.0
West Virginia,2016,1759771,47196,3742,50938,51476.0,1759233.0
Wisconsin,2016,5573347,118814,19943,138757,113882.0,5598222.0
Wyoming,2016,548991,26471,2105,28576,27184.0,550383.0
Puerto Rico,2016,3360085,21196,3479,24675,,
Alabama,2017,4693873,111803,13667,125470,101466.0,4717877.0
Alaska,2017,693972,30199,6703,36902,42972.0,687902.0
Arizona,2017,6628309,261727,45322,307049,163214.0,6772144.0
Arkansas,2017,2880026,79411,8958,88369,69850.0,2898545.0
California,2017,38244101,523131,318752,841883,661026.0,38424958.0
Colorado,2017,5280911,226933,34438,261371,194296.0,5347986.0
Connecticut,2017,3448392,83325,24580,107905,98971.0,3457326.0
Delaware,2017,909903,38532,4014,42546,35653.0,916796.0
District of Columbia ,2017,618238,56231,10341,66572,65018.0,619792.0
Florida,2017,19956729,566476,249166,815642,447586.0,20324785.0
Georgia,2017,9963349,278889,57259,336148,254956.0,10044541.0
Hawaii,2017,1347023,46457,17270,63727,66597.0,1344153.0
Idaho,2017,1615654,71899,6629,78528,56954.0,1637228.0
Illinois,2017,12392817,195092,71419,266511,339435.0,12319893.0
Indiana,2017,6425658,142290,23650,165940,132094.0,6459504.0
Iowa,2017,3017571,77072,12237,89309,79358.0,3027522.0
Kansas,2017,2779288,86154,11483,97637,99660.0,2777265.0
Kentucky,2017,4284821,103985,15473,119458,99490.0,4304789.0
Louisiana,2017,4544350,72836,12776,85612,102212.0,4527750.0
Maine,2017,1284322,34252,4017,38269,27425.0,1295166.0
Maryland,2017,5774235,165654,48118,213772,183900.0,5804107.0
Massachusetts,2017,6565846,146299,77653,223952,173033.0,6616765.0
Michigan,2017,9654095,148787,48448,197235,148059.0,9703271.0
Minnesota,2017,5372020,115623,23259,138882,125130.0,5385772.0
Mississippi,2017,2866944,73549,6478,80027,78043.0,2868928.0
Missouri,2017,5850443,164957,24477,189434,153284.0,5886593.0
Montana,2017,999742,35456,3972,39428,28012.0,1011158.0
Nebraska,2017,1830521,52507,11189,63696,47760.0,1846457.0
Nevada,2017,2813230,133074,17152,150226,98226.0,2865230.0
New Hampshire,2017,1271456,52893,6393,59286,41740.0,1289002.0
New Jersey,2017,8678846,152106,79239,231345,224961.0,8685230.0
New Mexico,2017,1994785,57255,10588,67843,67296.0,1995332.0
New York,2017,19208185,285252,145486,430738,452580.0,19186343.0
North Carolina,2017,9788660,313834,56062,369896,243206.0,9915350.0
North Dakota,2017,701453,37315,5873,43188,37344.0,707297.0
Ohio,2017,11275592,198929,45588,244517,206479.0,11313630.0
Oklahoma,2017,3759030,101961,14931,116892,96005.0,3779917.0
Oregon,2017,3926531,149513,26004,175517,109454.0,3992594.0
Pennsylvania,2017,12365331,250120,59191,309311,254634.0,12420008.0
Rhode Island,2017,1005650,36850,6049,42899,30166.0,1018383.0
South Carolina,2017,4779832,166573,19806,186379,128797.0,4837414.0
South Dakota,2017,823521,26106,7099,33205,27412.0,829314.0
Tennessee,2017,6424902,191909,25261,217170,155665.0,6486407.0
Texas,2017,27177720,524511,222401,746912,467338.0,27457294.0
Utah,2017,2931464,99584,25145,124729,89721.0,2966472.0
Vermont,2017,593978,21868,3243,25111,20872.0,598217.0
Virginia,2017,8048049,250490,73983,324473,262563.0,8109959.0
Washington,2017,6994539,260787,63485,324272,198813.0,7119998.0
West Virginia,2017,1755208,40007,3091,43098,43321.0,1754985.0
Wisconsin,2017,5595923,112519,23107,135626,113492.0,5618057.0
Wyoming,2017,552569,18511,2403,20914,25954.0,547529.0
Puerto Rico,2017,3290366,20167,2986,23153,,
Alabama,2018,4707940,109301,15117,124418,98194.0,4734164.0
Alaska,2018,689936,32099,5129,37228,39246.0,687918.0
Arizona,2018,6776152,273714,40271,313985,179586.0,6910551.0
Arkansas,2018,2894068,73179,8714,81893,69724.0,2906237.0
California,2018,38325255,501023,288611,789634,691145.0,38423744.0
Colorado,2018,5355564,239153,38312,277465,203460.0,5429569.0
Connecticut,2018,3422560,84718,30925,115643,114235.0,3423968.0
Delaware,2018,921507,34451,2812,37263,33395.0,925375.0
District of Columbia ,2018,636804,47555,9439,56994,60363.0,633435.0
Florida,2018,20284088,587261,221528,808789,470977.0,20621900.0
Georgia,2018,10084326,274273,51863,326136,231337.0,10179125.0
Hawaii,2018,1336187,54074,13392,67466,67293.0,1336360.0
Idaho,2018,1648267,79765,6724,86489,55183.0,1679573.0
Illinois,2018,12325079,206620,67545,274165,305033.0,12294211.0
Indiana,2018,6435545,145256,32147,177403,136563.0,6476385.0
Iowa,2018,3034134,74199,10973,85172,70659.0,3048647.0
Kansas,2018,2763866,95748,14594,110342,96850.0,2777358.0
Kentucky,2018,4291723,110456,12535,122991,100514.0,4314200.0
Louisiana,2018,4508688,81355,13038,94393,95326.0,4507755.0
Maine,2018,1286065,34706,3324,38030,25012.0,1299083.0
Maryland,2018,5764871,163216,46434,209650,182323.0,5792198.0
Massachusetts,2018,6624005,144042,66317,210359,179017.0,6655347.0
Michigan,2018,9706941,139276,44866,184142,152605.0,9738478.0
Minnesota,2018,5417360,100270,25860,126130,112228.0,5431262.0
Mississippi,2018,2880135,68000,7582,75582,76567.0,2879150.0
Missouri,2018,5882179,152326,18604,170930,174949.0,5878160.0
Montana,2018,1005247,43375,3135,46510,35292.0,1016465.0
Nebraska,2018,1841909,54579,9355,63934,54462.0,1851381.0
Nevada,2018,2862027,127362,14372,141734,89791.0,2913970.0
New Hampshire,2018,1290348,48367,6035,54402,43633.0,1301117.0
New Jersey,2018,8593529,159846,62429,222275,231321.0,8584483.0
New Mexico,2018,2001933,60068,10545,70613,74459.0,1998087.0
New York,2018,18941573,254447,133684,388131,458014.0,18871690.0
North Carolina,2018,9902285,318681,53574,372255,238947.0,10035593.0
North Dakota,2018,712411,33735,3679,37414,33006.0,716819.0
Ohio,2018,11319674,198026,37463,235489,206948.0,11348215.0
Oklahoma,2018,3774836,106943,14204,121147,97474.0,3798509.0
Oregon,2018,3992750,140627,19379,160006,132698.0,4020058.0
Pennsylvania,2018,12358914,253520,62265,315785,240832.0,12433867.0
Rhode Island,2018,1006639,32841,8495,41336,31423.0,1016552.0
South Carolina,2018,4820196,186505,22333,208838,141258.0,4887776.0
South Dakota,2018,841147,26775,3349,30124,28747.0,842524.0
Tennessee,2018,6455003,209377,28556,237933,173250.0,6519686.0
Texas,2018,27567978,563945,201559,765504,462140.0,27871342.0
Utah,2018,2991797,100824,22096,122920,91741.0,3022976.0
Vermont,2018,592995,26306,2380,28686,20832.0,600849.0
Virginia,2018,8090242,274003,60095,334098,262345.0,8161995.0
Washington,2018,7130187,260906,62346,323252,222472.0,7230967.0
West Virginia,2018,1742252,43841,1537,45378,46546.0,1741084.0
Wisconsin,2018,5619419,114613,17493,132106,105789.0,5645736.0
Wyoming,2018,542518,25734,2615,28349,26078.0,544789.0
Puerto Rico,2018,3149870,20900,3186,24086,,
Alabama,2019,4732540,104780,12189,116969,98704.0,4750805.0
Alaska,2019,683737,34031,4295,38326,50134.0,671929.0
Arizona,2019,6900711,253295,46614,299909,173631.0,7026989.0
Arkansas,2019,2921206,59723,8125,67848,64524.0,2924530.0
California,2019,38337359,480204,266485,746689,653551.0,38430497.0
Colorado,2019,5432135,240600,28923,269523,198416.0,5503242.0
Connecticut,2019,3412824,90044,29118,119162,105243.0,3426743.0
Delaware,2019,922569,38014,4234,42248,28367.0,936450.0
District of Columbia ,2019,628691,58879,9986,68865,52084.0,645472.0
Florida,2019,20464393,601611,203405,805016,457301.0,20812108.0
Georgia,2019,10164773,284541,50494,335035,253565.0,10246243.0
Hawaii,2019,1332540,49708,14571,64279,68417.0,1328402.0
Idaho,2019,1679116,78730,6481,85211,54826.0,1709501.0
Illinois,2019,12288150,190627,57762,248389,308179.0,12228360.0
Indiana,2019,6478795,151443,26733,178176,142441.0,6514530.0
Iowa,2019,3034610,72651,14124,86775,74697.0,3046688.0
Kansas,2019,2771900,94648,12970,107618,88983.0,2790535.0
Kentucky,2019,4309565,100057,11890,111947,101061.0,4320451.0
Louisiana,2019,4510233,67640,17238,84878,95887.0,4499224.0
Maine,2019,1290663,36129,4864,40993,38267.0,1293389.0
Maryland,2019,5793751,141766,44085,185851,183299.0,5796303.0
Massachusetts,2019,6620142,144079,63889,207968,178104.0,6650006.0
Michigan,2019,9710406,132008,38344,170352,152365.0,9728393.0
Minnesota,2019,5442930,106920,25385,132305,114258.0,5460977.0
Mississippi,2019,2875170,61683,6884,68567,60094.0,2883643.0
Missouri,2019,5894768,152345,22584,174929,135762.0,5933935.0
Montana,2019,1011935,40862,4197,45059,39242.0,1017752.0
Nebraska,2019,1856559,46064,8088,54152,52425.0,1858286.0
Nevada,2019,2895267,132950,20385,153335,105357.0,2943245.0
New Hampshire,2019,1293186,50288,6681,56969,42162.0,1307993.0
New Jersey,2019,8578245,149260,64167,213427,229484.0,8562188.0
New Mexico,2019,2006123,55545,11960,67505,71212.0,2002416.0
New York,2019,18851752,254806,134362,389168,439708.0,18801212.0
North Carolina,2019,10004581,315215,52110,367325,255346.0,10116560.0
North Dakota,2019,709863,36668,3970,40638,29871.0,720630.0
Ohio,2019,11306918,205542,43577,249119,192506.0,11363531.0
Oklahoma,2019,3791883,101844,13531,115375,85599.0,3821659.0
Oregon,2019,4028858,129921,19799,149720,115723.0,4062855.0
Pennsylvania,2019,12351358,267465,51422,318887,256901.0,12413344.0
Rhode Island,2019,1011092,34984,4526,39510,31137.0,1019465.0
South Carolina,2019,4893662,176008,23057,199065,129227.0,4963500.0
South Dakota,2019,841142,26934,4632,31566,27542.0,845166.0
Tennessee,2019,6537328,196765,20368,217133,156558.0,6597903.0
Texas,2019,27865912,559661,217085,776746,453015.0,28189643.0
Utah,2019,3050711,95608,15783,111391,88426.0,3073676.0
Vermont,2019,594528,21212,1820,23032,22714.0,594846.0
Virginia,2019,8105540,264855,69587,334442,276849.0,8163133.0
Washington,2019,7231397,231956,64013,295969,199758.0,7327608.0
West Virginia,2019,1728350,39548,5382,44930,40460.0,1732820.0
Wisconsin,2019,5635872,107973,16636,124609,101668.0,5658813.0
Wyoming,2019,541255,30247,1382,31629,23287.0,549597.0
Puerto Rico,2019,3138609,31144,6082,37226,,
